keyword,count
🇺🇸 region: us,44614
croissant,39476
datasets,39450
text,35865
polars,33350
pandas,27411
apache-2.0,19824
mit,16917
parquet,15242
< 1k,13149
english,11334
json,11050
1k - 10k,10955
10k - 100k,8140
csv,7845
tabular,6922
dask,6706
image,6040
text-generation,5259
100k - 1m,4530
cc-by-4.0,3554
question-answering,3171
crowdsourced,2806
text-classification,2789
video,2402
robotics,2298
time-series,2264
imagefolder,2242
lerobot,2211
1m - 10m,1883
monolingual,1641
cc-by-sa-4.0,1592
audio,1495
original,1342
arxiv:2204.07705,1176
chinese,1175
arxiv:2407.00066,1173
summarization,1125
synthetic,1070
art,1065
cc0-1.0,1034
text2text-generation,994
tutorial,992
text-to-image,984
text-retrieval,975
image-to-text,953
feature-extraction,917
token-classification,883
multilingual,846
french,777
sentence-similarity,777
1k<n<10k,769
russian,758
10m - 100m,744
expert-generated,741
code,708
language-modeling,707
spanish,694
so100,688
found,679
translation,662
webdataset,654
japanese,614
infinite-dataset-hub,606
german,597
medical,583
extractive-qa,569
multi-class-classification,564
soundfolder,544
multi-label-classification,539
topic-classification,536
gpl-3.0,513
named-entity-recognition,489
biology,472
korean,469
arabic,464
text-scoring,460
sentiment-analysis,457
news-articles-summarization,439
image-classification,417
portuguese,404
legal,399
document-retrieval,389
afl-3.0,386
italian,375
table-question-answering,371
turkish,363
visual-question-answering,347
finance,327
sentence-transformers,324
hindi,323
vietnamese,311
machine-generated,309
mteb,301
indonesian,297
10k<n<100k,291
automatic-speech-recognition,281
dutch,278
chemistry,271
zero-shot-classification,270
thai,268
not-for-all-audiences,260
bengali,256
other,251
no-annotation,242
persian,239
polish,232
multiple-choice,227
arrow,218
tamil,207
math,202
text-to-speech,201
nlp,201
fill-mask,193
czech,189
danish,180
telugu,179
100m - 1b,176
finnish,173
ukrainian,171
swedish,170
romanian,169
100k<n<1m,162
hungarian,160
wtfpl,156
open-domain-qa,153
catalan,153
urdu,152
agpl-3.0,151
multiple-choice-qa,151
object-detection,150
eval,150
llm,147
reasoning,143
dpo,142
malayalam,141
swahili,141
music,139
natural-language-inference,139
n<1k,135
welsh,135
marathi,133
hebrew,133
bulgarian,130
serbian,129
greek,128
image-segmentation,128
unlicense,127
kannada,125
dataset,122
climate,120
distilabel,118
gujarati,115
geospatial,114
slovak,114
tabular-classification,114
closed-domain-qa,111
image-to-image,111
lithuanian,105
norwegian,105
slovenian,104
croatian,103
panjabi,103
estonian,102
