keyword,count
image,6040
text-generation,5259
question-answering,3171
crowdsourced,2806
text-classification,2789
video,2402
robotics,2298
time-series,2264
lerobot,2211
monolingual,1641
audio,1495
summarization,1125
synthetic,1070
art,1065
text2text-generation,994
tutorial,992
text-to-image,984
text-retrieval,975
image-to-text,953
feature-extraction,917
token-classification,883
multilingual,846
sentence-similarity,777
expert-generated,741
code,708
language-modeling,707
translation,662
webdataset,654
medical,583
extractive-qa,569
multi-class-classification,564
multi-label-classification,539
topic-classification,536
named-entity-recognition,489
biology,472
text-scoring,460
sentiment-analysis,457
news-articles-summarization,439
image-classification,417
legal,399
document-retrieval,389
table-question-answering,371
visual-question-answering,347
finance,327
sentence-transformers,324
machine-generated,309
automatic-speech-recognition,281
chemistry,271
zero-shot-classification,270
multiple-choice,227
math,202
text-to-speech,201
nlp,201
fill-mask,193
open-domain-qa,153
multiple-choice-qa,151
object-detection,150
eval,150
llm,147
reasoning,143
music,139
natural-language-inference,139
image-segmentation,128
climate,120
geospatial,114
tabular-classification,114
closed-domain-qa,111
image-to-image,111
